Action,Date,Price,Shares
Buy,2020-05-29,79.48500061035156,125.0
Sell,2020-07-27,94.80999755859376,125.0
Buy,2020-07-31,106.26000213623048,112.0
Sell,2020-09-09,117.31999969482422,112.0
Buy,2020-09-30,115.80999755859376,113.0
Sell,2020-10-23,115.04000091552734,113.0
Buy,2020-11-06,118.69000244140624,110.0
Sell,2020-11-24,115.16999816894533,110.0
Buy,2020-12-01,122.72000122070312,103.0
Sell,2021-01-07,130.9199981689453,103.0
Buy,2021-01-11,128.97999572753906,104.0
Sell,2021-01-12,128.8000030517578,104.0
Buy,2021-01-21,136.8699951171875,98.0
Sell,2021-02-04,137.38999938964844,98.0
Buy,2021-02-05,136.75999450683594,99.0
Sell,2021-02-12,135.3699951171875,99.0
Buy,2021-03-17,124.76000213623048,107.0
Sell,2021-03-19,119.98999786376952,107.0
Buy,2021-04-05,125.9000015258789,102.0
Sell,2021-05-05,128.10000610351562,102.0
Buy,2021-06-09,127.12999725341795,103.0
Sell,2021-08-11,145.86000061035156,103.0
Buy,2021-08-13,149.10000610351562,101.0
Sell,2021-09-14,148.1199951171875,101.0
Buy,2021-10-18,146.5500030517578,102.0
Sell,2021-11-11,147.8699951171875,102.0
Buy,2021-11-16,151.0,99.0
Sell,2022-01-07,172.1699981689453,99.0
Buy,2022-02-01,174.61000061035156,98.0
Sell,2022-02-14,168.8800048828125,98.0
Buy,2022-02-16,172.5500030517578,96.0
Sell,2022-02-18,167.3000030517578,96.0
Buy,2022-03-21,165.3800048828125,97.0
Sell,2022-04-11,165.75,97.0
Buy,2022-05-31,148.83999633789062,108.0
Sell,2022-06-10,137.1300048828125,108.0
Buy,2022-06-27,141.66000366210938,105.0
Sell,2022-07-01,138.92999267578125,105.0
Buy,2022-07-05,141.55999755859375,103.0
Sell,2022-08-25,170.02999877929688,103.0
Buy,2022-08-26,163.6199951171875,107.0
Sell,2022-08-29,161.3800048828125,107.0
Buy,2022-10-21,147.27000427246094,117.0
Sell,2022-11-04,138.3800048828125,117.0
Buy,2022-11-14,148.27999877929688,109.0
Sell,2022-11-29,141.1699981689453,109.0
Buy,2022-12-05,146.6300048828125,105.0
Sell,2022-12-06,142.91000366210938,105.0
